continent,land_cover,name,lat_centre,lon_centre,lat_min,lon_min,lat_max,lon_max
europe,urban_built_up,paris,48.812,2.402,48.625,2.203,49.001,2.633
europe,cropland,ukraine,47.619,30.590,46.649,30.099,48.992,37.218
europe,forest,romania,47.860,24.891,46.687,24.979,47.872,26.089
europe,herbaceous_vegetation,ireland,53.662,-8.470,52.320,-9.434,55.118,-6.306
europe,shrubs,norway,60.269,7.236,59.753,6.577,61.360,8.628
asia,urban_built_up,seoul,37.643,126.786,37.483,126.726,37.593,127.092
asia,cropland,china,32.485,115.005,32.329,114.494,34.260,116.565
asia,forest,borneo,0.388,113.218,-0.974,112.694,2.939,115.616
asia,herbaceous_vegetation,kazakhstan,46.903,71.166,46.284,66.233,49.002,81.760
asia,shrubs,india_pakistan,28.001,71.034,27.868,70.928,28.777,72.334
america,urban_built_up,new_york,40.744,-73.9288,40.574,-74.131,40.925,-73.782
america,cropland,iowa,42.421,-94.841,41.717,-96.079,44.185,-92.827
america,forest,amazon,-8.092,-53.628,-7.152,-73.846,4.124,-52.350
america,herbaceous_vegetation,bolivia,-18.118,-65.896,-19.394,-66.636,-17.738,-64.856
america,shrubs,mexico,18.280,-97.581,25.938,-104.714,30.265,-101.323
africa,urban_built_up,lagos,6.614,3.310,6.439,3.219,6.648,3.396
africa,cropland,nile,13.436,33.036,30.730,30.723,31.375,31.818
africa,forest,congo_basin,-1.406,21.215,-2.670,18.541,5.219,28.231
africa,herbaceous_vegetation,south_africa,-31.297,24.825,-33.700,23.555,-29.424,28.345
africa,shrubs,kenya,-1.838,39.364,-0.304,39.668,4.087,45.194